"Rep","Cov_sp_near","Cov_sp_med","Cov_sp_far","Cov_sp_all","Width_sp_near","Width_sp_med","Width_sp_far","Width_sp_all","Cov_unw_near","Cov_unw_med","Cov_unw_far","Cov_unw_all","Width_unw_all","Cov_kr_near","Cov_kr_med","Cov_kr_far","Cov_kr_all","Width_kr_all"
21,0.920922570016474,0.91793893129771,0.903361344537815,0.918,0.134220173623468,0.134505320750352,0.134461518945791,0.134362683373743,0.948929159802306,0.935114503816794,0.932773109243697,0.9416,0.144659931014538,0.944810543657331,0.945610687022901,0.953781512605042,0.946,0.106117629551695
22,0.906095551894563,0.907442748091603,0.903361344537815,0.9064,0.143584360179398,0.143615242302187,0.143443202761179,0.143583867779056,0.974464579901153,0.96469465648855,0.936974789915966,0.9668,0.164863964810586,0.982701812191104,0.990458015267176,0.991596638655462,0.9868,0.144441076606522
23,0.941515650741351,0.961832061068702,0.978991596638655,0.9536,0.196093015934306,0.196259053811009,0.196066255429018,0.196160071412116,0.962108731466227,0.95706106870229,0.970588235294118,0.9608,0.211393789041007,0.984349258649094,0.983778625954199,0.991596638655462,0.9848,0.142350550845227
24,0.948929159802306,0.928435114503817,0.894957983193277,0.9352,0.182957730863668,0.18307553625937,0.183161083233764,0.18302647403118,0.952224052718287,0.948473282442748,0.936974789915966,0.9492,0.152694266151445,0.974464579901153,0.978053435114504,0.970588235294118,0.9756,0.135060348592116
25,0.953871499176277,0.936068702290076,0.92436974789916,0.9436,0.165729712559769,0.165913539127868,0.166141658197388,0.165845989881817,0.935749588138385,0.929389312977099,0.945378151260504,0.934,0.135374754679616,0.982701812191104,0.984732824427481,0.983193277310924,0.9836,0.135189964117032
26,0.934102141680395,0.925572519083969,0.903361344537815,0.9276,0.141858718539544,0.142116782971105,0.14219851992605,0.14199924824125,0.949752883031301,0.947519083969466,0.928571428571429,0.9468,0.144899627259129,0.970345963756178,0.974236641221374,0.970588235294118,0.972,0.121255091801155
27,0.922570016474465,0.897900763358779,0.857142857142857,0.906,0.131429884714677,0.131723529221915,0.132108660973326,0.131617599991935,0.953047775947282,0.939885496183206,0.932773109243697,0.9456,0.161143496480402,0.957990115321252,0.958015267175573,0.945378151260504,0.9568,0.119489240516964
28,0.940691927512356,0.920801526717557,0.941176470588235,0.9324,0.182641571263544,0.182523009631013,0.181751953121213,0.182507178580037,0.915980230642504,0.91412213740458,0.890756302521008,0.9128,0.144671941705997,0.988467874794069,0.991412213740458,0.987394957983193,0.9896,0.14871149981061
29,0.935749588138385,0.919847328244275,0.941176470588235,0.9296,0.16321951096072,0.163204010205285,0.162992043591466,0.163191358150489,0.906919275123559,0.892175572519084,0.899159663865546,0.9,0.145629244687507,0.973640856672158,0.977099236641221,0.966386554621849,0.9744,0.138573003386595
30,0.939868204283361,0.913167938931298,0.915966386554622,0.9264,0.167775592429236,0.167724631229864,0.167975944593152,0.167773303020464,0.920922570016474,0.895992366412214,0.903361344537815,0.9088,0.157813733529146,0.981878088962109,0.982824427480916,0.978991596638655,0.982,0.135072337995428
31,0.961285008237232,0.958015267175573,0.945378151260504,0.9584,0.170146732260232,0.170455320932559,0.170771972872529,0.170335615537962,0.915980230642504,0.909351145038168,0.92436974789916,0.914,0.145871227271546,0.983525535420099,0.976145038167939,0.96218487394958,0.9784,0.142458064538952
32,0.948105436573311,0.929389312977099,0.936974789915966,0.9392,0.149727718574746,0.149727334225025,0.149876131828439,0.149741686397095,0.949752883031301,0.935114503816794,0.911764705882353,0.94,0.137831511061934,0.962108731466227,0.968511450381679,0.966386554621849,0.9652,0.117440312549065
33,0.930807248764415,0.908396946564885,0.899159663865546,0.9184,0.147534226619333,0.14774413059107,0.14778637337116,0.147646222735059,0.948105436573311,0.937022900763359,0.936974789915966,0.9424,0.150639644066278,0.962932454695222,0.963740458015267,0.970588235294118,0.964,0.117257300315711
